255,239,223,207,191,175,159,143,127,111,95,79,63,47,31
,254,238,222,206,190,174,158,142,126,110,94,78,62,46
,,253,237,221,205,189,173,157,141,125,109,93,77,61
,,,252,236,220,204,188,172,156,140,124,108,92,76
,,,,251,235,219,203,187,171,155,139,123,107,91
,,,,,250,234,218,202,186,170,154,138,122,106
,,,,,,249,233,217,201,185,169,153,137,121
,,,,,,,248,232,216,200,184,168,152,136
,,,,,,,,247,231,215,199,183,167,151
,,,,,,,,,246,230,214,198,182,166
,,,,,,,,,,245,229,213,197,181
,,,,,,,,,,,244,228,212,196
,,,,,,,,,,,,243,227,211
,,,,,,,,,,,,,242,226
,,,,,,,,,,,,,,241
